1539104356.828,   0.906,  -0.124,   0.965, -0.459877, -0.768293, -0.693578
1539104356.927,   0.897,  -0.138,   1.019, -0.466332, -0.774138, -0.653056
1539104357.027,   0.892,  -0.146,   1.083, -0.471284, -0.779034, -0.610000
1539104357.137,   0.892,  -0.147,   1.096, -0.479582, -0.785368, -0.526866
1539104357.237,   0.892,  -0.147,   1.096, -0.480475, -0.786134, -0.539657
1539104357.337,   0.892,  -0.147,   1.096, -0.480639, -0.786412, -0.541076
1539104357.437,   0.892,  -0.146,   1.095, -0.480009, -0.786323, -0.535850
1539104357.537,   0.893,  -0.145,   1.106, -0.478643, -0.783232, -0.522334
1539104357.636,   0.898,  -0.134,   1.207, -0.475926, -0.775650, -0.479933
1539104357.736,   0.902,  -0.120,   1.323, -0.473558, -0.766528, -0.399112
1539104357.836,   0.904,  -0.110,   1.426, -0.471798, -0.755847, -0.310122
1539104357.946,   0.905,  -0.101,   1.509, -0.470435, -0.747101, -0.236643
1539104358.046,   0.905,  -0.098,   1.542, -0.470093, -0.740650, -0.183381
1539104358.146,   0.905,  -0.099,   1.535, -0.469768, -0.737494, -0.163641
1539104358.246,   0.905,  -0.099,   1.533, -0.469287, -0.736478, -0.174335
1539104358.345,   0.905,  -0.101,   1.512, -0.469077, -0.735570, -0.175798
1539104358.445,   0.905,  -0.103,   1.494, -0.468398, -0.735106, -0.191156
1539104358.545,   0.905,  -0.103,   1.496, -0.467770, -0.733808, -0.198511
1539104358.655,   0.905,  -0.102,   1.496, -0.467025, -0.730022, -0.189078
1539104358.755,   0.906,  -0.093,   1.490, -0.464848, -0.722968, -0.184616
1539104358.855,   0.908,  -0.067,   1.467, -0.461002, -0.708588, -0.194055
1539104358.954,   0.910,  -0.044,   1.441, -0.455146, -0.689183, -0.217250
1539104359.054,   0.914,  -0.019,   1.431, -0.447600, -0.666373, -0.230409
1539104359.154,   0.919,   0.016,   1.436, -0.438807, -0.640432, -0.236476
1539104359.254,   0.923,   0.051,   1.458, -0.427521, -0.608181, -0.234702
1539104359.354,   0.927,   0.086,   1.474, -0.418791, -0.576156, -0.211916
1539104359.464,   0.931,   0.127,   1.467, -0.409630, -0.541672, -0.204424
1539104359.563,   0.935,   0.167,   1.453, -0.399721, -0.506049, -0.217747
1539104359.663,   0.940,   0.206,   1.440, -0.387750, -0.468680, -0.227705
1539104359.763,   0.945,   0.244,   1.438, -0.371827, -0.421227, -0.237261
1539104359.863,   0.950,   0.277,   1.431, -0.361315, -0.387418, -0.246765
1539104359.973,   0.955,   0.309,   1.429, -0.350279, -0.355928, -0.248888
1539104360.073,   0.958,   0.335,   1.431, -0.340383, -0.326230, -0.250099
1539104360.173,   0.962,   0.363,   1.437, -0.330673, -0.297201, -0.243185
1539104360.272,   0.966,   0.397,   1.450, -0.321639, -0.267697, -0.234227
1539104360.372,   0.971,   0.434,   1.465, -0.311757, -0.235497, -0.224816
1539104360.472,   0.974,   0.467,   1.465, -0.303185, -0.204152, -0.222090
1539104360.572,   0.976,   0.490,   1.486, -0.294549, -0.175389, -0.218056
1539104360.672,   0.978,   0.512,   1.502, -0.287731, -0.149524, -0.198178
1539104360.782,   0.980,   0.546,   1.501, -0.280643, -0.121669, -0.192301
1539104360.882,   0.982,   0.578,   1.491, -0.273327, -0.093415, -0.198144
1539104360.981,   0.985,   0.607,   1.493, -0.265614, -0.066487, -0.208902
1539104361.081,   0.986,   0.626,   1.497, -0.258681, -0.039189, -0.212472
1539104361.181,   0.988,   0.648,   1.495, -0.252632, -0.014918, -0.214979
1539104361.281,   0.990,   0.677,   1.475, -0.245282, +0.009708, -0.225650
1539104361.381,   0.994,   0.709,   1.459, -0.236613, +0.037629, -0.241398
1539104361.491,   0.998,   0.743,   1.439, -0.228043, +0.065157, -0.263351
1539104361.590,   1.001,   0.764,   1.457, -0.218262, +0.091462, -0.284860
1539104361.690,   1.003,   0.785,   1.497, -0.211104, +0.115306, -0.261198
1539104361.790,   1.004,   0.815,   1.540, -0.204223, +0.141243, -0.223618
1539104361.890,   1.005,   0.848,   1.568, -0.198200, +0.168736, -0.192751
1539104361.990,   1.004,   0.877,   1.596, -0.192097, +0.197926, -0.167314
1539104362.090,   1.004,   0.896,   1.617, -0.187008, +0.224327, -0.148573
1539104362.190,   1.002,   0.917,   1.644, -0.182539, +0.248853, -0.125058
1539104362.289,   1.000,   0.947,   1.639, -0.179306, +0.273135, -0.107928
1539104362.389,   0.998,   0.978,   1.613, -0.175355, +0.300914, -0.121581
1539104362.489,   0.998,   1.004,   1.576, -0.170333, +0.326963, -0.136757
1539104362.589,   0.998,   1.028,   1.561, -0.163977, +0.350925, -0.180991
1539104362.699,   0.998,   1.045,   1.615, -0.159469, +0.369728, -0.184364
1539104362.799,   0.997,   1.060,   1.679, -0.157083, +0.387274, -0.131146
1539104362.898,   0.995,   1.073,   1.745, -0.156253, +0.400642, -0.084187
1539104362.998,   0.994,   1.076,   1.794, -0.156058, +0.414812, +0.002047
1539104363.098,   0.994,   1.077,   1.804, -0.156368, +0.417543, +0.008781
1539104363.208,   0.994,   1.077,   1.803, -0.156516, +0.418282, +0.014117
1539104363.308,   0.995,   1.075,   1.814, -0.156273, +0.415813, +0.020474
1539104363.408,   0.999,   1.061,   1.912, -0.157123, +0.407697, +0.051984
1539104363.508,   1.004,   1.049,   2.042, -0.158492, +0.397048, +0.149979
1539104363.607,   1.012,   1.035,   2.165, -0.157528, +0.384184, +0.257478
1539104363.707,   1.023,   1.020,   2.273, -0.155218, +0.369036, +0.358765
1539104363.807,   1.036,   1.006,   2.359, -0.149766, +0.353474, +0.444428
1539104363.907,   1.050,   0.993,   2.412, -0.142531, +0.338230, +0.505335
1539104364.007,   1.065,   0.981,   2.443, -0.134433, +0.323932, +0.543287
1539104364.107,   1.078,   0.970,   2.449, -0.125505, +0.311228, +0.553896
1539104364.207,   1.081,   0.967,   2.462, -0.117877, +0.300748, +0.552331
1539104364.307,   1.085,   0.964,   2.465, -0.112927, +0.293719, +0.564915
1539104364.416,   1.093,   0.957,   2.486, -0.107969, +0.286949, +0.573833
1539104364.516,   1.101,   0.952,   2.521, -0.105915, +0.282895, +0.589592
1539104364.616,   1.106,   0.948,   2.563, -0.102365, +0.277249, +0.616091
1539104364.716,   1.108,   0.947,   2.595, -0.102365, +0.277249, +0.616091
1539104364.816,   1.108,   0.947,   2.597, -0.102365, +0.277249, +0.616091
1539104364.915,   1.101,   0.951,   2.649, -0.100024, +0.271883, +0.676425
1539104365.015,   1.086,   0.958,   2.734, -0.108683, +0.278337, +0.729540
1539104365.115,   1.072,   0.964,   2.805, -0.121897, +0.285733, +0.852966
1539104365.215,   1.060,   0.968,   2.867, -0.132436, +0.291641, +0.924137
1539104365.315,   1.052,   0.969,   2.942, -0.142346, +0.296301, +0.998681
1539104365.425,   1.045,   0.971,   3.013, -0.150884, +0.299441, +1.075933
1539104365.505,   1.041,   0.971,   3.054, -0.159239, +0.301846, +1.138465
1539104365.624,   1.035,   0.971,   3.106, -0.166301, +0.303703, +1.185942
1539104365.724,   1.028,   0.971,   3.141, -0.172868, +0.304981, +1.239317
1539104365.824,   1.019,   0.971,  -3.128, -0.181016, +0.306874, +1.280237
1539104365.924,   1.012,   0.971,  -3.115, -0.189875, +0.308877, +1.309065
1539104366.024,   1.004,   0.971,  -3.113, -0.198497, +0.310856, +1.299660
1539104366.124,   0.994,   0.971,  -3.124, -0.208588, +0.313476, +1.290713
1539104366.234,   0.975,   0.971,   3.122, -0.222070, +0.317435, +1.274060
1539104366.333,   0.953,   0.972,   3.086, -0.243161, +0.325010, +1.228144
1539104366.433,   0.932,   0.973,   3.041, -0.261060, +0.331939, +1.180133
1539104366.533,   0.910,   0.976,   2.982, -0.280100, +0.339748, +1.118378
1539104366.633,   0.889,   0.980,   2.942, -0.299310, +0.350039, +1.064858
1539104366.743,   0.867,   0.985,   2.914, -0.317682, +0.360450, +1.019795
1539104366.843,   0.847,   0.989,   2.922, -0.337085, +0.371635, +1.001912
1539104366.942,   0.821,   0.994,   2.981, -0.358962, +0.383622, +1.044995
1539104367.042,   0.794,   0.998,   3.047, -0.382120, +0.392958, +1.110018
1539104367.152,   0.763,   1.000,   3.108, -0.407585, +0.401653, +1.184351
1539104367.252,   0.736,   1.000,  -3.127, -0.433756, +0.409443, +1.254133
1539104367.352,   0.715,   0.999,  -3.087, -0.458338, +0.415692, +1.308113
1539104367.452,   0.699,   0.998,  -3.084, -0.480936, +0.420597, +1.337464
1539104367.552,   0.677,   0.997,  -3.105, -0.505540, +0.426454, +1.337457
1539104367.651,   0.647,   0.997,   3.133, -0.526325, +0.432692, +1.283933
1539104367.751,   0.621,   0.998,   3.081, -0.548825, +0.439723, +1.230563
1539104367.851,   0.598,   1.000,   3.037, -0.572616, +0.449272, +1.192800
1539104367.961,   0.578,   1.002,   3.011, -0.591893, +0.458230, +1.142339
1539104368.061,   0.562,   1.004,   3.023, -0.610834, +0.467109, +1.122350
1539104368.161,   0.541,   1.006,   3.059, -0.587038, +0.437909, -1.993755
1539104368.261,   0.515,   1.008,   3.096, -0.607722, +0.446630, -1.950592
1539104368.360,   0.487,   1.009,   3.132, -0.629888, +0.455761, -1.913846
1539104368.460,   0.459,   1.008,  -3.122, -0.653324, +0.464360, -1.876013
1539104368.560,   0.439,   1.008,  -3.102, -0.676363, +0.471712, -1.853887
1539104368.660,   0.425,   1.007,  -3.109, -0.697739, +0.477319, -1.835527
1539104368.760,   0.403,   1.007,  -3.140, -0.704754, +0.489152, -1.031848
1539104368.860,   0.375,   1.008,   3.100, -0.727181, +0.493427, -0.997007
1539104368.959,   0.348,   1.009,   3.056, -0.749859, +0.498488, -0.936238
1539104369.069,   0.325,   1.012,   3.022, -0.836890, +0.539914, +1.150907
1539104369.169,   0.309,   1.014,   3.002, -0.858985, +0.549217, +1.136674
1539104369.269,   0.291,   1.016,   3.000, -0.875797, +0.557986, +1.099040
1539104369.369,   0.267,   1.019,   3.046, -0.897860, +0.567496, +1.121435
1539104369.469,   0.239,   1.021,   3.115, -0.920214, +0.575034, +1.187553
1539104369.579,   0.211,   1.021,  -3.087, -0.946620, +0.582501, +1.276795
1539104369.678,   0.190,   1.019,  -3.020, -0.970845, +0.586813, +1.356875
