starting print thread... 
starting setpoint thread... 
starting motion capture message receive thread... 
initializing imu... 
initializing controller...
-15.0000  -0.4000  -0.1000  -0.0850  
initializing motors...
resetting encoders...
initializing state...
initializing setpoint...
initializing odometry...
attaching imu interupt...
we are running!!!...
1539122224.918,  0.000,  0.000
1539122225.010,  0.000,  0.000
1539122225.110,  0.000,  0.000
1539122225.219,  0.000,  0.000
1539122225.319,  0.000,  0.000
1539122225.419,  0.003, -0.003
1539122225.519,  0.008, -0.014
1539122225.619,  0.010, -0.012
1539122225.719,  0.003, -0.007
1539122225.819, -0.005,  0.005
1539122225.918, -0.003,  0.007
1539122226.018, -0.001, -0.002
1539122226.118,  0.000,  0.002
1539122226.218, -0.000,  0.002
1539122226.318, -0.000,  0.000
1539122226.418,  0.001, -0.002
1539122226.518,  0.000,  0.000
1539122226.618, -0.001,  0.003
1539122226.717,  0.001, -0.002
1539122226.817,  0.003, -0.002
1539122226.917, -0.002,  0.002
1539122227.017, -0.002,  0.003
1539122227.117, -0.001,  0.002
1539122227.217,  0.005, -0.005
1539122227.317,  0.007, -0.009
1539122227.416,  0.006, -0.009
1539122227.516,  0.004, -0.005
1539122227.616,  0.001,  0.000
1539122227.726, -0.006,  0.007
1539122227.826, -0.010,  0.017
1539122227.926, -0.015,  0.019
1539122228.026, -0.013,  0.017
1539122228.125, -0.016,  0.021
1539122228.225, -0.015,  0.022
1539122228.325, -0.011,  0.017
1539122228.425, -0.008,  0.012
1539122228.525, -0.007,  0.010
1539122228.625,  0.002,  0.007
1539122228.725,  0.009,  0.002
1539122228.824,  0.011,  0.000
1539122228.924,  0.010, -0.002
1539122229.024,  0.013, -0.009
1539122229.124,  0.018,  0.005
1539122229.224,  0.008,  0.012
1539122229.324, -0.007,  0.021
1539122229.424, -0.021,  0.033
1539122229.524, -0.022,  0.036
1539122229.624, -0.019,  0.031
1539122229.723, -0.011,  0.014
1539122229.833, -0.007,  0.003
1539122229.933, -0.007,  0.012
1539122230.033, -0.013,  0.017
1539122230.133, -0.014,  0.019
1539122230.233, -0.012,  0.015
1539122230.333, -0.011,  0.014
1539122230.432, -0.016,  0.022
1539122230.532, -0.019,  0.026
1539122230.632, -0.019,  0.026
1539122230.732, -0.015,  0.022
1539122230.832, -0.013,  0.017
1539122230.932, -0.012,  0.015
1539122231.032, -0.008,  0.010
1539122231.131, -0.001,  0.002
1539122231.231,  0.003, -0.007
1539122231.331, -0.011,  0.021
1539122231.431, -0.018,  0.026
1539122231.531, -0.016,  0.022
1539122231.631, -0.015,  0.022
1539122231.731, -0.009,  0.012
1539122231.831, -0.003,  0.005
1539122231.930,  0.003, -0.007
1539122232.030,  0.002, -0.009
1539122232.130,  0.004, -0.003
1539122232.230,  0.008, -0.009
1539122232.330,  0.018, -0.021
1539122232.440,  0.022, -0.029
1539122232.540,  0.029, -0.041
1539122232.639,  0.036, -0.046
1539122232.739,  0.025, -0.039
1539122232.839,  0.016, -0.022
1539122232.939,  0.014, -0.021
1539122233.039,  0.011, -0.015
1539122233.139,  0.008, -0.010
1539122233.239, -0.002,  0.002
1539122233.338, -0.011,  0.019
1539122233.438, -0.019,  0.026
1539122233.538, -0.019,  0.024
1539122233.638, -0.018,  0.024
1539122233.738, -0.020,  0.026
1539122233.838, -0.020,  0.027
1539122233.938, -0.018,  0.017
1539122234.038, -0.012,  0.022
1539122234.137, -0.009,  0.015
1539122234.237, -0.006,  0.012
1539122234.337, -0.015,  0.022
1539122234.437, -0.018,  0.026
1539122234.537, -0.017,  0.022
1539122234.637, -0.015,  0.021
1539122234.737, -0.018,  0.022
1539122234.836, -0.016,  0.022
1539122234.936, -0.012,  0.019
1539122235.046, -0.008,  0.010
1539122235.146, -0.009,  0.010
1539122235.246, -0.006,  0.007
1539122235.346, -0.004,  0.005
1539122235.446,  0.002, -0.002
1539122235.546,  0.003, -0.005
1539122235.645,  0.005, -0.007
1539122235.745,  0.004, -0.003
1539122235.845,  0.004, -0.007
1539122235.945,  0.011, -0.010
1539122236.045,  0.009, -0.010
1539122236.145,  0.013, -0.017
1539122236.245,  0.009, -0.014
1539122236.344,  0.011, -0.012
1539122236.444,  0.010, -0.015
1539122236.544,  0.001,  0.000
1539122236.644, -0.006,  0.009
1539122236.744, -0.010,  0.015
1539122236.844, -0.013,  0.015
1539122236.944, -0.011,  0.014
1539122237.044, -0.008,  0.010
1539122237.143, -0.008,  0.010
1539122237.243, -0.002,  0.002
1539122237.343,  0.003, -0.005
1539122237.443,  0.007, -0.012
1539122237.553,  0.013, -0.014
1539122237.653,  0.018, -0.024
1539122237.753,  0.018, -0.024
1539122237.852,  0.016, -0.024
1539122237.952,  0.006, -0.007
1539122238.052, -0.001,  0.000
1539122238.152,  0.000,  0.000
1539122238.252,  0.002, -0.002
1539122238.352,  0.006, -0.009
1539122238.452,  0.008, -0.012
1539122238.551,  0.006, -0.009
1539122238.651,  0.003, -0.003
1539122238.751,  0.007, -0.010
1539122238.851,  0.015, -0.021
1539122238.951,  0.018, -0.022
1539122239.051,  0.016, -0.021
1539122239.151,  0.017, -0.022
1539122239.251,  0.017, -0.024
1539122239.350,  0.019, -0.026
1539122239.450,  0.019, -0.024
1539122239.550,  0.020, -0.027
1539122239.650,  0.020, -0.027
1539122239.750,  0.017, -0.026
1539122239.850,  0.018, -0.026
1539122239.950,  0.017, -0.024
1539122240.049,  0.015, -0.017
1539122240.149,  0.010, -0.014
1539122240.249,  0.005, -0.010
1539122240.359,  0.000, -0.002
1539122240.459, -0.001,  0.002
1539122240.559, -0.001,  0.002
1539122240.659, -0.004,  0.009
1539122240.759, -0.001,  0.005
1539122240.858,  0.012, -0.017
1539122240.958,  0.019, -0.026
1539122241.058,  0.009, -0.009
1539122241.158, -0.003,  0.002
1539122241.258, -0.005,  0.007
1539122241.358, -0.002,  0.003
1539122241.458, -0.002, -0.003
1539122241.557,  0.001, -0.002
1539122241.657, -0.001,  0.000
1539122241.757,  0.003, -0.005
1539122241.857,  0.005, -0.003
1539122241.957,  0.002, -0.005
1539122242.057,  0.004, -0.003
1539122242.157,  0.008, -0.005
1539122242.257,  0.005, -0.014
1539122242.366,  0.006, -0.012
1539122242.466,  0.006, -0.009
1539122242.566,  0.001,  0.002
1539122242.666, -0.008,  0.010
1539122242.766, -0.001, -0.002
1539122242.866,  0.002, -0.005
1539122242.966, -0.003,  0.002
1539122243.065,  0.000, -0.002
1539122243.165,  0.003, -0.003
1539122243.265,  0.004, -0.005
1539122243.365, -0.005,  0.005
1539122243.465, -0.003, -0.002
1539122243.565, -0.006,  0.009
1539122243.665, -0.006,  0.007
1539122243.764, -0.005,  0.005
1539122243.864, -0.001,  0.000
1539122243.964,  0.002, -0.003
1539122244.064,  0.002, -0.002
1539122244.164,  0.001, -0.002
1539122244.264,  0.001,  0.002
1539122244.364,  0.000, -0.002
1539122244.464, -0.001,  0.002
1539122244.563, -0.001,  0.002
1539122244.663, -0.006,  0.007
1539122244.763, -0.006,  0.009
1539122244.863, -0.007,  0.010
1539122244.963, -0.005,  0.007
1539122245.073, -0.004,  0.007
1539122245.173, -0.004,  0.007
1539122245.272, -0.000,  0.005
1539122245.372,  0.013, -0.019
1539122245.472,  0.023, -0.031
1539122245.572,  0.025, -0.036
1539122245.672,  0.024, -0.033
1539122245.772,  0.016, -0.021
1539122245.872,  0.015, -0.017
1539122245.972,  0.015, -0.022
1539122246.071,  0.009, -0.012
1539122246.171,  0.011, -0.015
1539122246.271,  0.009, -0.012
1539122246.371, -0.005,  0.007
1539122246.471, -0.019,  0.026
1539122246.571, -0.025,  0.038
1539122246.671, -0.021,  0.027
1539122246.771, -0.013,  0.009
1539122246.870, -0.014,  0.024
1539122246.970, -0.015,  0.022
1539122247.070, -0.011,  0.014
1539122247.170, -0.002,  0.002
1539122247.270,  0.010, -0.010
1539122247.370,  0.011, -0.019
1539122247.469,  0.007, -0.009
1539122247.569,  0.004, -0.005
1539122247.669,  0.009,  0.002
1539122247.779,  0.014, -0.022
1539122247.879,  0.013, -0.015
1539122247.979,  0.011, -0.015
1539122248.079,  0.012, -0.014
1539122248.179,  0.008, -0.010
1539122248.278,  0.003, -0.005
1539122248.378, -0.009,  0.009
1539122248.478, -0.026,  0.033
1539122248.578, -0.033,  0.046
1539122248.678, -0.028,  0.036
1539122248.778, -0.021,  0.026
1539122248.878, -0.012,  0.014
1539122248.977, -0.006,  0.005
1539122249.077, -0.002,  0.003
1539122249.177,  0.000,  0.002
1539122249.277,  0.003, -0.043
1539122249.377,  0.008, -0.033
1539122249.477,  0.008, -0.029
1539122249.587,  0.004, -0.021
1539122249.686,  0.001, -0.014
1539122249.786,  0.001, -0.012
1539122249.886,  0.003, -0.007
1539122249.986,  0.002, -0.002
1539122250.086,  0.003, -0.005
1539122250.186,  0.005, -0.007
1539122250.286,  0.003, -0.002
1539122250.386,  0.001,  0.015
1539122250.485,  0.002,  0.010
1539122250.585,  0.003,  0.009
1539122250.685,  0.003,  0.017
1539122250.785,  0.000,  0.015
1539122250.885,  0.001, -0.002
1539122250.985, -0.000,  0.002
1539122251.085,  0.000,  0.000
1539122251.184,  0.000,  0.000
1539122251.284, -0.001,  0.003
1539122251.384, -0.001,  0.002
1539122251.484, -0.002,  0.002
1539122251.584, -0.005,  0.010
1539122251.684, -0.007,  0.010
1539122251.784, -0.003,  0.002
1539122251.884, -0.001,  0.000
1539122251.993, -0.001,  0.002
1539122252.093, -0.003,  0.005
1539122252.193, -0.001,  0.000
1539122252.293,  0.005, -0.003
1539122252.393,  0.004, -0.003
1539122252.493,  0.001, -0.002
1539122252.593,  0.001,  0.000
1539122252.692,  0.002, -0.002
1539122252.792,  0.000, -0.002
1539122252.892, -0.000,  0.000
1539122252.992, -0.000,  0.000
1539122253.092, -0.001,  0.005
1539122253.192, -0.002,  0.000
1539122253.292,  0.000,  0.000
1539122253.392,  0.000,  0.000
1539122253.491, -0.000,  0.000
1539122253.591,  0.000,  0.000
1539122253.691,  0.000,  0.000
1539122253.791,  0.001, -0.002
1539122253.891,  0.001,  0.000
1539122253.991,  0.000,  0.000
