starting print thread... 
starting setpoint thread... 
starting motion capture message receive thread... 
initializing imu... 
initializing controller...
-15.0000  -0.4000  -0.1000  -0.0850  
initializing motors...
resetting encoders...
initializing state...
initializing setpoint...
initializing odometry...
attaching imu interupt...
we are running!!!...
1539121115.693,  0.040,  2.413,  0.051
1539121115.793,  0.080,  2.804,  0.065
1539121115.893,  0.055,  2.875,  0.065
1539121115.993,  0.026,  2.875,  0.065
1539121116.093,  0.002,  2.932,  0.044
1539121116.193,  0.036,  3.212,  0.015
1539121116.302,  0.084,  3.462, -0.005
1539121116.402,  0.083,  3.455, -0.002
1539121116.502,  0.104,  3.417,  0.005
1539121116.602,  0.060,  2.981,  0.026
1539121116.702,  0.022,  2.502,  0.058
1539121116.802, -0.006,  2.108,  0.084
1539121116.902,  0.031,  1.957,  0.086
1539121117.002,  0.049,  1.691,  0.077
1539121117.101,  0.012,  1.168,  0.041
1539121117.201, -0.030,  0.680,  0.017
1539121117.301, -0.015,  0.529, -0.005
1539121117.401,  0.031,  0.529, -0.005
1539121117.501,  0.019,  0.196,  0.005
1539121117.601, -0.039, -0.212,  0.010
1539121117.701, -0.035, -0.241,  0.002
1539121117.800, -0.033, -0.225, -0.007
1539121117.900, -0.055, -0.205, -0.010
1539121118.000, -0.016,  0.202, -0.039
1539121118.100,  0.034,  0.715, -0.067
1539121118.200,  0.049,  0.982, -0.068
1539121118.300, -0.012,  1.030, -0.053
1539121118.400,  0.016,  1.463, -0.024
1539121118.500,  0.069,  1.941,  0.012
1539121118.599,  0.058,  2.089,  0.046
1539121118.709,  0.022,  2.130,  0.024
1539121118.809, -0.006,  2.198,  0.022
1539121118.909,  0.030,  2.531,  0.002
1539121119.009,  0.078,  2.801, -0.022
1539121119.109,  0.065,  2.804, -0.014
1539121119.209,  0.073,  2.804, -0.014
1539121119.308,  0.097,  2.782, -0.005
1539121119.408,  0.057,  2.368,  0.021
1539121119.508,  0.010,  1.864,  0.053
1539121119.608,  0.001,  1.601,  0.074
1539121119.708,  0.044,  1.457,  0.075
1539121119.808,  0.039,  1.107,  0.063
1539121119.908,  0.006,  0.626,  0.043
1539121120.007, -0.028,  0.189,  0.015
1539121120.107, -0.012,  0.067, -0.015
1539121120.207,  0.022,  0.010, -0.046
1539121120.307,  0.029, -0.132, -0.067
1539121120.407,  0.004, -0.388, -0.080
